Product Name,Reviews
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Very good quality  Very good10
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Very very nice  Beautiful product
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Great deal  This is very nice product and color also price is also good.
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Nice product  Satisfactory
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Great deal  The meterial of this saree is the same soon I like this product worth it
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Khub sundar  Verry good
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Good cloth  Nice colour
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),"Attractive Product.  I GAVE IT AS A GIFT TO SOMEONE, AND SHE HAS SATISFIED THAT IS ENOUGH FOR ME. TQ."
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Card cover Looks very cheap product.
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),"Awesome ! That product is awesome very nice a a good quality and as well the delivery , packaging , are also very nice it's a very good deal the wallet is read more"
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Wallet  Not good product
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),"Aug 31, 2022Very good qualityOsm quality"
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Very small size  Money waste
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Card cover  Looks very cheap product.
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),sharmaji  Bad Quality and no space in this wallet so small
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),"Worst experience  In image it was big ,but it's very small n not nice"
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Ritun  Pasand nahi hai on
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Very small size  Verry small size product
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",home Storage Cloth Bags  quality very bad
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Not of my expectations  The boxes need bit of stiffness on all sides.The bottom needs a sid support card board or any stiff material for ease of handling and packing.
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",It's aa low quality product It's a poor quality cloth cover
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality  There is no propersupport and quality is not as expected.
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality  Not strong plastic as i expected
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality  Poor very bad
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality not good  I see this item in photo but actually received this item I am not satisfied
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)","Shnasima Good quality, useful products"
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality is not too good but ok  Money valued
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Poor material and very small size  Poor quality
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Good quality  Nice good price
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,"Nov 17, 2019Good123That much not good,it's very hard ,not smooth ..but ok ok product.tq Snapdeal."
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Leather brown wallet  Good quality
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Nice quality  Quick delivery I love Snapdeal thank you so much
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Good product  Good product
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,"Wallet  Nice 👍, worth to buy this wallet."
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Dali Chand  Very good Very nice
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Ranjith  Good supply for Good's
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,"Sep 20, 2019best producti love this product"
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Nice quality  Good product
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Wallet  Goodquality
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Fantastic product  Wonderful product & best price
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Top product  जबरदस्त चीज है
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),நன்றாக உள்ளது  நன்றாக உள்ளது
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Very good product  This is nice product 👍👍
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Nice product  Nice behaviour of delivery man
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Very nice .... Good quality in this price  Great ...... Wow
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),"Snapdeal a best deal for Customers.  The products sold through Snapdeal are all of good quality, which I bought and very reasonably priced too. Wishing the best for Snapdeal and their business participants/suppliers a huge success. As a Snapdeal Customer, I have very good satisfaction. Best wishes."
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Bahut badiya he perfect deal he  Full paisa wasool good product
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Good quality purse  Quality purse
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Very good , nice material and very comfortable  I like it . Cool product"
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Quality issue  Quality not good .
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Product  Superb quality
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Poor quality  Leaves full color after washing. Please don't purcchase it.
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Sep 10, 2022Good product 👍Great deal"
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Print all faded after washing  Print all faded after first washing
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Quality issue Quality not good .
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Shaffu Superb mind blowing quality and product I'm very very happy with this product.. Thankyou snapdeal..,.."
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"not good product  it started shedding colour, golden comor becoming black.. will not recommend"
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Color fading heavily. Not having correct measurements  Very tight somewhere. Very loose . Not in correct measurements. Color is bleeding heavily. After one wash , it looks very bad."
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Accha nhi h  Tut gya Tha
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Items  Poor quality
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Size is too short  Size is too short waist of money I'm very unhappy about this product
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles","About snapdeal I got lots of Product, product quality is very good and better, but problem with shipping. Product ko same me 12/15 din lagjate hai"
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Accha nhi h Tut gya Tha
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles","Jun 06, 2022Very wellThat's great product.thankyou Snapdeal..."
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Good quality but not sure whether it is gonna last longer  Good quality with such a low price it's worth for money
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Poor quality  This product not good Damage or unuseable
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Short  Length is short but quality is good
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Cord came out.  Rubber cord Deattached every time when stretched what to do
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),low quality  low quality product . size shorter
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Very thin dress  Type the thin dress
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Not good.i want to return it  Not good quality
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Poor quality It is poor quality kurti.not cotton.
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Poor quality  Very poor quality product
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Not good  Shoulder is not proper.wierd stitching near shoulder.
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Very good Satisfied with this order
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Not good..  The product is not so good...
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Material shows cotton but fabric is synthetic.  Pls send actual product. These types products made your market values down .so pls take care
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),"Oct 06, 2021ExcellentMana jo b liea ha sab asha hi tha jo na acha nahe laga usa return kar date hu bakei sab v nice"
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Very nice  Very good 👍
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",As per order  Excellent Service
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",😍😍😍wow  That great product
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle","Superb  Very good product, I am happy with product"
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Superb  The size of starage boxes were large nice storage capacity excellent material also great deal💗💜
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",good product  nice product
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Satisfactory  Happy with the product.Very useful and durable
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Good quality. Looking exactly same.  nice quality
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle","There is no shortage, it is perfect from every angle  A one 👌 Quality"
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Thank you Snapdeal  Best quality good zipper low price
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),The color is small to the neck  Neck portion is small unable to put the tie on.
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"Fitting is not so great Fabric is good but, cutting and fitting is not. Poor fitting especially in upper and lower arm areas. Very less margins given. You can't wear bod read more"
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"This is made with poly viscose yarn,no cotton  Wrinkles formed after every time washing, un able to straighten even with top hot ironing.poor quality priced high.I am very unsatisfied with fake fabric"
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Excellent Very good fabric loved the shirt
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Expected forget this product.  It is good product. Picture like this color. Cloth was very soft.super.selected size.come from the shop.thank u snapdeal
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Good for money  Good quality and perfect size
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Good febric  Shirt febric is okey
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Good buy  Money wise good buy size is correct fabric is ok .Arm lenth is bit long but manageable. Overall it is cheap buy.
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"Fitting is not so great  Fabric is good but, cutting and fitting is not. Poor fitting especially in upper and lower arm areas. Very less margins given. You can't wear boddy warmers / thermals underneath. Buttons fixed are not sturdy enough, need re-strenghening."
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"Sep 25, 2022Good for moneyGood quality and perfect size"
Herbalife Personalized Protein Powder 200 gm Pack of 2,yes..recommended  Using & seeing getting benefits in less than 2months..
Herbalife Personalized Protein Powder 200 gm Pack of 2,Bad Product  जून 2016 की मैन्यूफैक्चरिंग और बहुत ही ख़राब पेकिंग
Herbalife Personalized Protein Powder 200 gm Pack of 2,Weight loss  Good results
Herbalife Personalized Protein Powder 200 gm Pack of 2,Bad Product  The product is not genuine because there is no scen code and the label are cut from one side but I have the product there is no such case . I am a agent of HERBALIFE
Herbalife Personalized Protein Powder 200 gm Pack of 2,Nice product  Good service
Herbalife Personalized Protein Powder 200 gm Pack of 2,Its good  It was great
Herbalife Personalized Protein Powder 200 gm Pack of 2,Bad Product The product is not genuine because there is no scen code and the label are cut from one side but I have the product there is no such case . I am a age read more
Herbalife Personalized Protein Powder 200 gm Pack of 2,excellent price  i have compared the price of this product in many sites and found the price in snapdeal to be very low
Herbalife Personalized Protein Powder 200 gm Pack of 2,Wonder products Awsm awsm awsm no more words . M using it from last 6 months n buying it from snapdeal at very low prices. Gr8 results at very low prices thnks to sna read more
Herbalife Personalized Protein Powder 200 gm Pack of 2,Herbalife protein  Good product and delivery service very fast
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Lotus seed  Only one seed germinat
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,"Poor quality  Not a single seed grew, let alone bloomed. Total loss of money, effort and time."
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Useful  Great product
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,"Not grown after 1 month,it's fake  Very bad seeds,not grown after 1 month"
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Poor Qwality of seeds  Not a single seed gave any lotus flower 😭
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Supper  Supper se bhi upper
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Lotus seed Only one seed germinat
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Poor quality  No use. Very poor seeds
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Very bad  Very bad Lotus seed is very poor quality
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,good packing --- nice seeds good packing --- nice seeds
Analog Kitchenware Kitchen Utility Knife Set of 3U,बेस्ट  खुप छान किचन product
Analog Kitchenware Kitchen Utility Knife Set of 3U,Good product Little bit expensive but quality is awesome 😉
Analog Kitchenware Kitchen Utility Knife Set of 3U,Good product in the market  Sharpness is the most important feature for a cutting knife and we reached the great results in providing the best sharpness of our knives on the market.
Analog Kitchenware Kitchen Utility Knife Set of 3U,Kitchen knives  It's a very useful item for my kitchen....thanks a lot...standard product....great purchase.
Analog Kitchenware Kitchen Utility Knife Set of 3U,Hometales utility knife-3  Very nice for this price-sturdy and sharp-thank you
Analog Kitchenware Kitchen Utility Knife Set of 3U,Cannot use. Will need sharpening.  All the knives are blunt. One had scratches.
Analog Kitchenware Kitchen Utility Knife Set of 3U,Nice product  It was a nice product
Analog Kitchenware Kitchen Utility Knife Set of 3U,"Very sharp knife  All 3 knives are sharp, very sharp. Be careful when you use it. Too good for the price."
Analog Kitchenware Kitchen Utility Knife Set of 3U,Cannot use. Will need sharpening. All the knives are blunt. One had scratches.
Analog Kitchenware Kitchen Utility Knife Set of 3U,"Sharp knifes  Best quality stainless knifes, quality is awesome and thickness is perfect, super sharp, vegetables are cutting in seconds, even hard vegetables and fruits we can cut with these knifes easily, just go for it"
SHARUJA Analog Electric Tester,Supeb Fantastic Sendal tim
SHARUJA Analog Electric Tester,Not satisfied  Not good quality. Tester end it will be aluminium. Not as other tester material
SHARUJA Analog Electric Tester,Nice 🙂  Bahut acha hai 👍👍👍
SHARUJA Analog Electric Tester,Product is expected to be good.  The product is performing. Let's see how lomg it last.
SHARUJA Analog Electric Tester,Electric tester  Nice product
SHARUJA Analog Electric Tester,Quality of product  On receiving the the product i feel it is really the same product which i have ordered.This is extremely good...The product is qualitatively good and satisfactory
SHARUJA Analog Electric Tester,Good in quality  Useful for home
SHARUJA Analog Electric Tester,Bad product  Don't purchase 😭
SHARUJA Analog Electric Tester,Negative Down quality
SHARUJA Analog Electric Tester,Negative  Down quality
"Lawn Grass seed - 3000 seeds/Pack, Instruction Manual Inside Package",Very bad  Very bad quality
"Lawn Grass seed - 3000 seeds/Pack, Instruction Manual Inside Package",Worse product  Waste of money
"Lawn Grass seed - 3000 seeds/Pack, Instruction Manual Inside Package",Bad seed  Do not take this product
