Product Name,Sentiment,Useful_in_India
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),"['Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']",Yes
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"['Positive', 'Negative', 'Positive', 'Negative', 'Neutral', 'Neutral', 'Negative', 'Positive', 'Negative', 'Negative']",No
Herbalife Personalized Protein Powder 200 gm Pack of 2,"['Positive', 'Negative', 'Positive', 'Negative', 'Positive', 'Positive', 'Negative', 'Positive', 'Negative', 'Positive']",Yes
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),"['Negative', 'Neutral', 'Negative', 'Negative', 'Negative', 'Negative', 'Positive', 'Neutral', 'Positive', 'Positive']",No
JA-50 kg Weight Scale Digital Luggage Weighing Scales Weighing Capacity - 50 Kg Tools Hardware,"['Positive', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Positive', 'Neutral', 'Negative', 'Positive']",No
"Lawn Grass seed - 3000 seeds/Pack, Instruction Manual Inside Package","['Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Neutral', 'Neutral', 'Negative', 'Neutral', 'Neutral']",No
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),"['Negative', 'Neutral', 'Negative', 'Negative', 'Negative', 'Positive', 'Negative', 'Negative', 'Negative', 'Neutral']",No
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,"['Neutral', 'Negative', 'Positive', 'Negative', 'Negative', 'Neutral', 'Neutral', 'Negative', 'Negative', 'Positive']",No
"Masala Rangoli Box Dabba for Keeping Spices, Spice Box for Kitchen, Plastic Wooden Style Masala Box, Masala Container, Masala Dabba","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive', 'Positive', 'Neutral', 'Positive', 'Positive', 'Neutral']",Yes
"Microvent Multi-purpose Plastic Kitchen Container Set with vent, 1800ml, 1100ml, 680ml, 360ml, Purple (4U)","['Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']",Yes
"Milton Flip Lid 1000 Thermosteel 24 Hours Hot and Cold Water Bottle with Bag, 1 Litre, Silver","['Positive', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Neutral', 'Negative']",No
Next Queen-1500 Liter Watt Stainless Steel Electric Kettle,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']",Yes
"Nut Toppers Arabian Dates, 800 g (400g x 2)","['Positive', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Positive', 'Negative']",No
"Nutriley Muscle Gainer Capsules, Mass Gainer, Increase Muscle Mass & Strength, 60 Capsules","['Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']",Yes
PRd PU Tan Casual regular Wallet,"['Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative']",No
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),"['Neutral', 'Positive', 'Negative', 'Positive', 'Negative', 'Neutral', 'Negative', 'Negative', 'Neutral', 'Neutral']",No
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)","['Negative', 'Positive', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Positive', 'Positive', 'Negative']",No
SHARUJA Analog Electric Tester,"['Positive', 'Negative', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Negative', 'Negative', 'Negative']",Yes
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),"['Neutral', 'Positive', 'Positive', 'Neutral', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']",Yes
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle","['Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']",Yes
Shiv Trishul Damru Gold-plated Locket with Rudraksha Mala,"['Negative', 'Positive', 'Negative', 'Positive', 'Positive', 'Negative', 'Negative', 'Positive', 'Negative', 'Negative']",No
"Stainless Steel Vestire Manual Hand Blender for Egg & Cream Beater, Milkshake, Lassi, Butter Milk Mixer","['Negative', 'Negative', 'Negative', 'Negative', 'Positive', 'Positive', 'Negative', 'Neutral', 'Neutral', 'Positive']",No
Tantra Fluke Pro Bluetooth Receiver 4.1 Bluetooth Kit for Car (Black),"['Positive', 'Negative', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']",Yes
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,"['Positive', 'Negative', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']",Yes
UNICAL Shock Resistant Cable Protector for Smartphones and Tablets ( Multicolor ),"['Positive', 'Negative', 'Negative', 'Positive', 'Positive', 'Negative', 'Positive', 'Positive', 'Positive', 'Positive']",Yes
Unique Retail 7 in 1 Electric Soldering/Welding Iron Kit For DIY/Crafts Tools Hardware,"['Negative', 'Positive', 'Neutral', 'Negative', 'Positive', 'Neutral', 'Negative', 'Negative', 'Negative', 'Negative']",No
chopwell Red Plastic Manual Kitchen Chopper 450 ml ( Pack of 1 ),"['Positive', 'Positive', 'Negative', 'Negative', 'Neutral', 'Neutral', 'Negative', 'Positive', 'Negative', 'Negative']",No
dust n shine Multicolor Stainless Steel Steal scrubber pack of 12 ( Set of 12 ),"['Negative', 'Positive', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative', 'Negative']",No
flyfot Kitchenware Plastic Multipurpose Rice Wash Bowl with Handle for Rice V Plastic Strainers 1 Pc,"['Neutral', 'Positive', 'Positive', 'Neutral', 'Neutral', 'Negative', 'Negative', 'Neutral', 'Negative', 'Negative']",No
sweat BELT hot shapers hot shaper sauna tummy trimmer slimming belt,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']",Yes
