Product Name,Reviews,Aspects,Sentiment
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Super  Super rrrrrtttttttt,None,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Product quality very good 👌👌  Ek number sari product quality Awesome 👍👌👌,"product, quality",Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Good product  Nice quality,"product, quality",Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Very good quality  Very good10,quality,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Very very nice  Beautiful product,product,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Great deal  This is very nice product and color also price is also good.,"deal, product, price",Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Nice product  Satisfactory,"satisf, product",Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Great deal  The meterial of this saree is the same soon I like this product worth it,"deal, product, worth",Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Khub sundar  Verry good,None,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Good cloth  Nice colour,"colour, cloth",Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),"Attractive Product.  I GAVE IT AS A GIFT TO SOMEONE, AND SHE HAS SATISFIED THAT IS ENOUGH FOR ME. TQ.","satisf, product",Positive
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Card cover Looks very cheap product.,"product, look",Neutral
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),"Awesome ! That product is awesome very nice a a good quality and as well the delivery , packaging , are also very nice it's a very good deal the wallet is read more","delivery, deal, product, pack, quality",Positive
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Wallet  Not good product,product,Negative
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),"Aug 31, 2022Very good qualityOsm quality",quality,Positive
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Very small size  Money waste,size,Negative
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Card cover  Looks very cheap product.,"product, look",Neutral
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),sharmaji  Bad Quality and no space in this wallet so small,quality,Negative
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),"Worst experience  In image it was big ,but it's very small n not nice",None,Negative
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Ritun  Pasand nahi hai on,None,Neutral
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Very small size  Verry small size product,"size, product",Neutral
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",home Storage Cloth Bags  quality very bad,"cloth, quality",Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Not of my expectations  The boxes need bit of stiffness on all sides.The bottom needs a sid support card board or any stiff material for ease of handling and packing.,"material, pack",Positive
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",It's aa low quality product It's a poor quality cloth cover,"product, cloth, quality",Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality  There is no propersupport and quality is not as expected.,quality,Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality  Not strong plastic as i expected,quality,Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality  Poor very bad,quality,Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality not good  I see this item in photo but actually received this item I am not satisfied,"satisf, item, quality",Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)","Shnasima Good quality, useful products","useful, product, quality",Positive
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality is not too good but ok  Money valued,quality,Positive
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Poor material and very small size  Poor quality,"size, material, quality",Negative
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Good quality  Nice good price,"price, quality",Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,"Nov 17, 2019Good123That much not good,it's very hard ,not smooth ..but ok ok product.tq Snapdeal.","deal, product",Negative
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Leather brown wallet  Good quality,quality,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Nice quality  Quick delivery I love Snapdeal thank you so much,"deal, delivery, quality",Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Good product  Good product,product,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,"Wallet  Nice 👍, worth to buy this wallet.",worth,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Dali Chand  Very good Very nice,None,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Ranjith  Good supply for Good's,None,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,"Sep 20, 2019best producti love this product",product,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Nice quality  Good product,"product, quality",Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Wallet  Goodquality,quality,Neutral
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Fantastic product  Wonderful product & best price,"product, price",Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Top product  जबरदस्त चीज है,product,Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),நன்றாக உள்ளது  நன்றாக உள்ளது,None,Neutral
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Very good product  This is nice product 👍👍,product,Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Nice product  Nice behaviour of delivery man,"product, delivery",Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Very nice .... Good quality in this price  Great ...... Wow,"price, quality",Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),"Snapdeal a best deal for Customers.  The products sold through Snapdeal are all of good quality, which I bought and very reasonably priced too. Wishing the best for Snapdeal and their business participants/suppliers a huge success. As a Snapdeal Customer, I have very good satisfaction. Best wishes.","price, satisf, deal, product, quality",Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Bahut badiya he perfect deal he  Full paisa wasool good product,"deal, product",Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Good quality purse  Quality purse,quality,Positive
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Very good , nice material and very comfortable  I like it . Cool product","material, comfort, product",Positive
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Quality issue  Quality not good .,quality,Negative
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Product  Superb quality,"product, quality",Positive
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Poor quality  Leaves full color after washing. Please don't purcchase it.,quality,Negative
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Sep 10, 2022Good product 👍Great deal","deal, product",Neutral
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Print all faded after washing  Print all faded after first washing,None,Neutral
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Quality issue Quality not good .,quality,Negative
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Shaffu Superb mind blowing quality and product I'm very very happy with this product.. Thankyou snapdeal..,..","deal, product, quality",Positive
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"not good product  it started shedding colour, golden comor becoming black.. will not recommend","colour, product",Negative
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Color fading heavily. Not having correct measurements  Very tight somewhere. Very loose . Not in correct measurements. Color is bleeding heavily. After one wash , it looks very bad.",look,Negative
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Accha nhi h  Tut gya Tha,None,Neutral
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Items  Poor quality,"item, quality",Negative
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Size is too short  Size is too short waist of money I'm very unhappy about this product,"size, product",Negative
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles","About snapdeal I got lots of Product, product quality is very good and better, but problem with shipping. Product ko same me 12/15 din lagjate hai","deal, product, quality",Negative
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Accha nhi h Tut gya Tha,None,Neutral
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles","Jun 06, 2022Very wellThat's great product.thankyou Snapdeal...","deal, product",Positive
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Good quality but not sure whether it is gonna last longer  Good quality with such a low price it's worth for money,"worth, price, quality",Positive
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Poor quality  This product not good Damage or unuseable,"product, quality",Negative
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Short  Length is short but quality is good,quality,Positive
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Cord came out.  Rubber cord Deattached every time when stretched what to do,None,Neutral
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),low quality  low quality product . size shorter,"size, product, quality",Negative
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Very thin dress  Type the thin dress,None,Neutral
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Not good.i want to return it  Not good quality,quality,Negative
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Poor quality It is poor quality kurti.not cotton.,quality,Negative
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Poor quality  Very poor quality product,"product, quality",Negative
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Not good  Shoulder is not proper.wierd stitching near shoulder.,None,Negative
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Very good Satisfied with this order,satisf,Positive
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Not good..  The product is not so good...,product,Neutral
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Material shows cotton but fabric is synthetic.  Pls send actual product. These types products made your market values down .so pls take care,"material, product, fabric",Positive
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),"Oct 06, 2021ExcellentMana jo b liea ha sab asha hi tha jo na acha nahe laga usa return kar date hu bakei sab v nice",None,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Very nice  Very good 👍,None,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",As per order  Excellent Service,service,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",😍😍😍wow  That great product,product,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle","Superb  Very good product, I am happy with product",product,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Superb  The size of starage boxes were large nice storage capacity excellent material also great deal💗💜,"size, material, deal",Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",good product  nice product,product,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Satisfactory  Happy with the product.Very useful and durable,"useful, satisf, product",Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Good quality. Looking exactly same.  nice quality,"look, quality",Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle","There is no shortage, it is perfect from every angle  A one 👌 Quality",quality,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Thank you Snapdeal  Best quality good zipper low price,"deal, price, quality",Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),The color is small to the neck  Neck portion is small unable to put the tie on.,None,Neutral
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"Fitting is not so great Fabric is good but, cutting and fitting is not. Poor fitting especially in upper and lower arm areas. Very less margins given. You can't wear bod read more","fit, fabric",Negative
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"This is made with poly viscose yarn,no cotton  Wrinkles formed after every time washing, un able to straighten even with top hot ironing.poor quality priced high.I am very unsatisfied with fake fabric","fabric, satisf, price, quality",Negative
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Excellent Very good fabric loved the shirt,fabric,Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Expected forget this product.  It is good product. Picture like this color. Cloth was very soft.super.selected size.come from the shop.thank u snapdeal,"size, product, deal, cloth",Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Good for money  Good quality and perfect size,"size, quality",Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Good febric  Shirt febric is okey,None,Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Good buy  Money wise good buy size is correct fabric is ok .Arm lenth is bit long but manageable. Overall it is cheap buy.,"size, fabric",Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"Fitting is not so great  Fabric is good but, cutting and fitting is not. Poor fitting especially in upper and lower arm areas. Very less margins given. You can't wear boddy warmers / thermals underneath. Buttons fixed are not sturdy enough, need re-strenghening.","fit, fabric",Negative
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"Sep 25, 2022Good for moneyGood quality and perfect size","size, quality",Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,yes..recommended  Using & seeing getting benefits in less than 2months..,fit,Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,Bad Product  जून 2016 की मैन्यूफैक्चरिंग और बहुत ही ख़राब पेकिंग,product,Negative
Herbalife Personalized Protein Powder 200 gm Pack of 2,Weight loss  Good results,weight,Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,Bad Product  The product is not genuine because there is no scen code and the label are cut from one side but I have the product there is no such case . I am a agent of HERBALIFE,product,Negative
Herbalife Personalized Protein Powder 200 gm Pack of 2,Nice product  Good service,"service, product",Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,Its good  It was great,None,Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,Bad Product The product is not genuine because there is no scen code and the label are cut from one side but I have the product there is no such case . I am a age read more,product,Negative
Herbalife Personalized Protein Powder 200 gm Pack of 2,excellent price  i have compared the price of this product in many sites and found the price in snapdeal to be very low,"deal, product, price",Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,Wonder products Awsm awsm awsm no more words . M using it from last 6 months n buying it from snapdeal at very low prices. Gr8 results at very low prices thnks to sna read more,"deal, product, price",Negative
Herbalife Personalized Protein Powder 200 gm Pack of 2,Herbalife protein  Good product and delivery service very fast,"service, product, delivery",Positive
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Lotus seed  Only one seed germinat,None,Neutral
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,"Poor quality  Not a single seed grew, let alone bloomed. Total loss of money, effort and time.",quality,Negative
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Useful  Great product,"useful, product",Positive
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,"Not grown after 1 month,it's fake  Very bad seeds,not grown after 1 month",None,Negative
