Product Name,Reviews,Sentiment
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),quality  unproffesional and it wasnt waterproff at all,Neutral
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),Very very poor quality  Not working in proper form very bad,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),Very poor quality  Very bad quality,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),No quality  I'm not happy with this no quality,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),It's OK It's perfect for for stop leakage,Positive
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),"Poor quality  Not aure seems to be old, gum not at all working. Not sticking to any of the surface.",Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),Not good product This is not at all use for my leakage ceiling.i have put the layers of this waterproof tapes but it did not remain for 15 mins.that whole tapes came o read more,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),Bad quality  Very bad quality,Negative
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),"Weast of this product  Don't buy this product,,,,,",Neutral
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Ezzi mop as the name itself suggests!!  As the name itself suggests it is seriously very easy to assemble and use it too. It is very user friendly. It is light in weight and also we can remove the excess water easily by spinning the mop. It is very reasonably priced too. Keep rocking Snapdeal!! I have had a great experience shopping at Snapdeal as always.,Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Ezzi Deals 360 Degree Rotating Magic Bucket Mop  Great Buy!!! Value for money. Easy to use,Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),"Mar 22, 2016Excellent Productvery useful and makes my work easier. Good product .",Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Excellent Product  very useful and makes my work easier. Good product .,Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Awesome product  It save time cleans floor very well and thus is a good product,Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Very nice product  Very nice product.. I m satisfied with this product.,Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),360 degree rotating magic bucket mop  I like this product vry much n specially snapdeal service its replacement process is so easy n awesome.. And delivery is vry fast,Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Excellent service  Good qualities and timeline delivery excellent service centre costumer,Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),"All round saviour  It is light and easy to use, Easily slides in all nook and corner and gives you an effortless experience",Positive
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),Super  Super rrrrrtttttttt,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Product quality very good 👌👌  Ek number sari product quality Awesome 👍👌👌,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Good product  Nice quality,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Very good quality  Very good10,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Very very nice  Beautiful product,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Great deal  This is very nice product and color also price is also good.,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Nice product  Satisfactory,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Great deal  The meterial of this saree is the same soon I like this product worth it,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Khub sundar  Verry good,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),Good cloth  Nice colour,Positive
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),"Attractive Product.  I GAVE IT AS A GIFT TO SOMEONE, AND SHE HAS SATISFIED THAT IS ENOUGH FOR ME. TQ.",Positive
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Card cover Looks very cheap product.,Neutral
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),"Awesome ! That product is awesome very nice a a good quality and as well the delivery , packaging , are also very nice it's a very good deal the wallet is read more",Positive
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Wallet  Not good product,Negative
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),"Aug 31, 2022Very good qualityOsm quality",Positive
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Very small size  Money waste,Negative
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Card cover  Looks very cheap product.,Neutral
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),sharmaji  Bad Quality and no space in this wallet so small,Negative
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),"Worst experience  In image it was big ,but it's very small n not nice",Negative
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Ritun  Pasand nahi hai on,Neutral
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),Very small size  Verry small size product,Neutral
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",home Storage Cloth Bags  quality very bad,Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Not of my expectations  The boxes need bit of stiffness on all sides.The bottom needs a sid support card board or any stiff material for ease of handling and packing.,Positive
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",It's aa low quality product It's a poor quality cloth cover,Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality  There is no propersupport and quality is not as expected.,Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality  Not strong plastic as i expected,Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality  Poor very bad,Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality not good  I see this item in photo but actually received this item I am not satisfied,Negative
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)","Shnasima Good quality, useful products",Positive
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Quality is not too good but ok  Money valued,Positive
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",Poor material and very small size  Poor quality,Negative
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Good quality  Nice good price,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,"Nov 17, 2019Good123That much not good,it's very hard ,not smooth ..but ok ok product.tq Snapdeal.",Negative
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Leather brown wallet  Good quality,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Nice quality  Quick delivery I love Snapdeal thank you so much,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Good product  Good product,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,"Wallet  Nice 👍, worth to buy this wallet.",Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Dali Chand  Very good Very nice,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Ranjith  Good supply for Good's,Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,"Sep 20, 2019best producti love this product",Positive
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,Nice quality  Good product,Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Wallet  Goodquality,Neutral
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Fantastic product  Wonderful product & best price,Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Top product  जबरदस्त चीज है,Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),நன்றாக உள்ளது  நன்றாக உள்ளது,Neutral
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Very good product  This is nice product 👍👍,Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Nice product  Nice behaviour of delivery man,Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Very nice .... Good quality in this price  Great ...... Wow,Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),"Snapdeal a best deal for Customers.  The products sold through Snapdeal are all of good quality, which I bought and very reasonably priced too. Wishing the best for Snapdeal and their business participants/suppliers a huge success. As a Snapdeal Customer, I have very good satisfaction. Best wishes.",Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Bahut badiya he perfect deal he  Full paisa wasool good product,Positive
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),Good quality purse  Quality purse,Positive
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Very good , nice material and very comfortable  I like it . Cool product",Positive
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Quality issue  Quality not good .,Negative
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Product  Superb quality,Positive
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Poor quality  Leaves full color after washing. Please don't purcchase it.,Negative
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Sep 10, 2022Good product 👍Great deal",Neutral
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Print all faded after washing  Print all faded after first washing,Neutral
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),Quality issue Quality not good .,Negative
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Shaffu Superb mind blowing quality and product I'm very very happy with this product.. Thankyou snapdeal..,..",Positive
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"not good product  it started shedding colour, golden comor becoming black.. will not recommend",Negative
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),"Color fading heavily. Not having correct measurements  Very tight somewhere. Very loose . Not in correct measurements. Color is bleeding heavily. After one wash , it looks very bad.",Negative
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Accha nhi h  Tut gya Tha,Neutral
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Items  Poor quality,Negative
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Size is too short  Size is too short waist of money I'm very unhappy about this product,Negative
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles","About snapdeal I got lots of Product, product quality is very good and better, but problem with shipping. Product ko same me 12/15 din lagjate hai",Negative
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Accha nhi h Tut gya Tha,Neutral
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles","Jun 06, 2022Very wellThat's great product.thankyou Snapdeal...",Positive
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Good quality but not sure whether it is gonna last longer  Good quality with such a low price it's worth for money,Positive
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Poor quality  This product not good Damage or unuseable,Negative
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Short  Length is short but quality is good,Positive
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",Cord came out.  Rubber cord Deattached every time when stretched what to do,Neutral
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),low quality  low quality product . size shorter,Negative
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Very thin dress  Type the thin dress,Neutral
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Not good.i want to return it  Not good quality,Negative
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Poor quality It is poor quality kurti.not cotton.,Negative
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Poor quality  Very poor quality product,Negative
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Not good  Shoulder is not proper.wierd stitching near shoulder.,Negative
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Very good Satisfied with this order,Positive
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Not good..  The product is not so good...,Neutral
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),Material shows cotton but fabric is synthetic.  Pls send actual product. These types products made your market values down .so pls take care,Positive
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),"Oct 06, 2021ExcellentMana jo b liea ha sab asha hi tha jo na acha nahe laga usa return kar date hu bakei sab v nice",Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Very nice  Very good 👍,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",As per order  Excellent Service,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",😍😍😍wow  That great product,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle","Superb  Very good product, I am happy with product",Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Superb  The size of starage boxes were large nice storage capacity excellent material also great deal💗💜,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",good product  nice product,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Satisfactory  Happy with the product.Very useful and durable,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Good quality. Looking exactly same.  nice quality,Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle","There is no shortage, it is perfect from every angle  A one 👌 Quality",Positive
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",Thank you Snapdeal  Best quality good zipper low price,Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),The color is small to the neck  Neck portion is small unable to put the tie on.,Neutral
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"Fitting is not so great Fabric is good but, cutting and fitting is not. Poor fitting especially in upper and lower arm areas. Very less margins given. You can't wear bod read more",Negative
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"This is made with poly viscose yarn,no cotton  Wrinkles formed after every time washing, un able to straighten even with top hot ironing.poor quality priced high.I am very unsatisfied with fake fabric",Negative
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Excellent Very good fabric loved the shirt,Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Expected forget this product.  It is good product. Picture like this color. Cloth was very soft.super.selected size.come from the shop.thank u snapdeal,Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Good for money  Good quality and perfect size,Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Good febric  Shirt febric is okey,Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),Good buy  Money wise good buy size is correct fabric is ok .Arm lenth is bit long but manageable. Overall it is cheap buy.,Positive
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"Fitting is not so great  Fabric is good but, cutting and fitting is not. Poor fitting especially in upper and lower arm areas. Very less margins given. You can't wear boddy warmers / thermals underneath. Buttons fixed are not sturdy enough, need re-strenghening.",Negative
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),"Sep 25, 2022Good for moneyGood quality and perfect size",Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,yes..recommended  Using & seeing getting benefits in less than 2months..,Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,Bad Product  जून 2016 की मैन्यूफैक्चरिंग और बहुत ही ख़राब पेकिंग,Negative
Herbalife Personalized Protein Powder 200 gm Pack of 2,Weight loss  Good results,Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,Bad Product  The product is not genuine because there is no scen code and the label are cut from one side but I have the product there is no such case . I am a agent of HERBALIFE,Negative
Herbalife Personalized Protein Powder 200 gm Pack of 2,Nice product  Good service,Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,Its good  It was great,Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,Bad Product The product is not genuine because there is no scen code and the label are cut from one side but I have the product there is no such case . I am a age read more,Negative
Herbalife Personalized Protein Powder 200 gm Pack of 2,excellent price  i have compared the price of this product in many sites and found the price in snapdeal to be very low,Positive
Herbalife Personalized Protein Powder 200 gm Pack of 2,Wonder products Awsm awsm awsm no more words . M using it from last 6 months n buying it from snapdeal at very low prices. Gr8 results at very low prices thnks to sna read more,Negative
Herbalife Personalized Protein Powder 200 gm Pack of 2,Herbalife protein  Good product and delivery service very fast,Positive
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Lotus seed  Only one seed germinat,Neutral
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,"Poor quality  Not a single seed grew, let alone bloomed. Total loss of money, effort and time.",Negative
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Useful  Great product,Positive
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,"Not grown after 1 month,it's fake  Very bad seeds,not grown after 1 month",Negative
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Poor Qwality of seeds  Not a single seed gave any lotus flower 😭,Negative
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Supper  Supper se bhi upper,Neutral
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Lotus seed Only one seed germinat,Neutral
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Poor quality  No use. Very poor seeds,Negative
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,Very bad  Very bad Lotus seed is very poor quality,Negative
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,good packing --- nice seeds good packing --- nice seeds,Positive
Analog Kitchenware Kitchen Utility Knife Set of 3U,बेस्ट  खुप छान किचन product,Neutral
Analog Kitchenware Kitchen Utility Knife Set of 3U,Good product Little bit expensive but quality is awesome 😉,Positive
Analog Kitchenware Kitchen Utility Knife Set of 3U,Good product in the market  Sharpness is the most important feature for a cutting knife and we reached the great results in providing the best sharpness of our knives on the market.,Positive
Analog Kitchenware Kitchen Utility Knife Set of 3U,Kitchen knives  It's a very useful item for my kitchen....thanks a lot...standard product....great purchase.,Positive
Analog Kitchenware Kitchen Utility Knife Set of 3U,Hometales utility knife-3  Very nice for this price-sturdy and sharp-thank you,Positive
Analog Kitchenware Kitchen Utility Knife Set of 3U,Cannot use. Will need sharpening.  All the knives are blunt. One had scratches.,Neutral
Analog Kitchenware Kitchen Utility Knife Set of 3U,Nice product  It was a nice product,Positive
